FIPS,State,County,UnempRate2019,UnempRate2018,UnempRate2017,UnempRate2016,UnempRate2015,UnempRate2014,UnempRate2010,UnempRate2007,PctEmpChange1019,PctEmpChange1819,PctEmpChange0719,PctEmpChange0710,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,PctEmpTrade,PctEmpTrans,PctEmpInformation,PctEmpFIRE,PctEmpServices,PctEmpGovt,NumCivEmployed,UnempRate2011,NumCivLaborForce2011,NumEmployed2011,NumCivLaborForce2012,NumUnemployed2010,NumCivLaborForce2008,NumUnemployed2011,NumEmployed2010,NumCivLaborForce2010,NumUnemployed2009,NumEmployed2009,NumCivLaborForce2009,UnempRate2008,UnempRate2012,NumEmployed2008,UnempRate2009,NumUnemployed2008,NumUnemployed2015,NumUnemployed2019,NumCivLaborforce2019,NumUnemployed2018,NumEmployed2018,NumCivLaborforce2018,NumUnemployed2017,NumEmployed2017,NumCivLaborforce2017,NumUnemployed2016,NumEmployed2016,NumCivLaborforce2016,NumCivLaborforce2013,NumEmployed2015,NumEmployed2012,NumUnemployed2014,NumEmployed2014,NumCivLaborforce2014,UnempRate2013,NumUnemployed2013,NumEmployed2019,NumEmployed2013,NumUnemployed2007,NumEmployed2007,NumCivLaborforce2007,NumUnemployed2012,NumCivLaborforce2015
00000,US,United States,3.70,3.90,4.40,4.90,5.30,6.20,9.60,4.60,12.70,1.30,8.24,-3.96,1.284583927,0.544318208,6.465189538,10.18128899,13.92313025,5.227259437,2.071683517,6.557098079,49.1101774,4.635270641,152739884,9.00,154606324,140765822,155119209,14862528,153761298,13840502,139408198,154270726,14230942,139594849,153825791,5.80,8.10,144860522,9.30,8900776,8283796,5984808.00,163100055,6286707,155102319,161389026,6975103,153183461,160158564,7723517,150902618,158626135,155485689,148515185,142600412,9618987,146338323,155957310,7.40,11467539,157115247,144018150,7035039,145156247,152191286,12518797,156798981
01000,AL,Alabama,3.00,3.90,4.40,5.80,6.10,6.80,10.50,4.00,10.69,2.05,4.09,-5.96,1.069577427,0.418932272,6.53722141,14.2438417,14.32594279,5.366570553,1.577785611,5.537273415,45.48631777,5.436537058,2076708,9.60,2202670,1990413,2176337,231483,2176489,212257,1964559,2196042,238252,1924747,2162999,5.70,8.00,2053477,11.00,123012,131476,67264.00,2241747,85782,2130845,2216627,96496,2090373,2186869,127307,2055251,2182558,2174000,2030005,2003290,146552,2014290,2160842,7.20,156957,2174483,2017043,86485,2089127,2175612,173047,2161481
01001,AL,Autauga,2.70,3.60,3.90,5.10,5.20,5.80,8.90,3.30,8.65,0.78,7.98,-0.62,0.551318189,0.331619964,6.00232134,12.94561433,11.64815122,6.984745482,1.629083071,6.259326811,43.39661748,10.25120212,24124,8.40,25836,23677,25740,2282,24687,2159,23431,25713,2402,22301,24703,5.10,6.90,23420,9.70,1267,1331,714.00,26172,935,25261,26196,1013,25062,26075,1322,24709,26031,25810,24321,23961,1495,24097,25592,6.20,1605,25458,24205,806,23577,24383,1779,25652
01003,AL,Baldwin,2.70,3.60,4.10,5.30,5.50,6.10,10.00,3.10,26.03,3.12,18.20,-6.22,0.956317802,0.371603894,8.269525268,9.119823515,16.80035126,4.925090224,1.369686975,7.398879834,45.7222716,5.06644963,93379,9.00,85045,77418,84414,8339,83223,7627,75120,83459,8048,74403,82451,4.60,7.50,79372,9.80,3851,4862,2653.00,97328,3424,91809,95233,3745,88711,92456,4835,86060,90895,85280,83010,78065,5301,81083,86384,6.60,5654,94675,79626,2560,80099,82659,6349,87872
01005,AL,Barbour,3.80,5.10,5.80,8.30,8.90,10.50,12.30,6.30,-8.33,2.83,-15.19,-7.49,4.403669725,0.114678899,6.25,23.88761468,13.4059633,6.915137615,0.240825688,3.967889908,33.71559633,7.098623853,8720,11.50,9849,8712,9362,1262,10161,1137,8959,10221,1431,8572,10003,8.80,11.50,9267,14.30,894,765,324.00,8537,427,7987,8414,486,7863,8349,700,7736,8436,9099,7860,8283,932,7913,8845,10.20,931,8213,8168,650,9684,10334,1079,8625
01007,AL,Bibb,3.10,3.90,4.40,6.40,6.60,7.20,11.40,4.10,6.38,1.83,-0.15,-6.14,1.901469317,4.086924312,9.013458452,18.70601309,10.86553896,4.88949253,1.308803556,4.580812446,39.37523151,5.272255834,8099,10.50,8933,7996,8798,1020,8749,937,7914,8934,1161,7581,8742,5.80,8.50,8241,13.30,508,568,266.00,8685,337,8268,8605,375,8208,8583,556,8088,8644,8705,8021,8047,617,7942,8559,7.90,689,8419,8016,359,8432,8791,751,8589
01009,AL,Blount,2.70,3.50,4.00,5.40,5.40,6.10,9.80,3.20,9.77,1.88,-4.36,-12.88,1.485055748,0.796402136,9.463131266,16.41056872,15.35650707,6.863112527,1.250819826,5.837159187,37.95090415,4.586339361,21346,8.70,25123,22939,24960,2446,26698,2184,22460,24906,2648,23832,26480,4.70,6.90,25453,10.00,1245,1323,676.00,25331,868,24201,25069,998,23824,24822,1326,23358,24684,24887,23198,23244,1504,23023,24527,6.30,1562,24655,23325,849,25780,26629,1716,24521
01011,AL,Bullock,3.60,4.60,4.90,6.80,7.90,8.80,11.80,9.40,6.59,1.58,40.36,31.68,5.939086294,0,4.923857868,33.75634518,7.411167513,5.203045685,0.431472081,2.30964467,33.47715736,6.54822335,3940,11.60,4833,4272,4736,585,3634,561,4356,4941,583,3156,3739,10.50,10.40,3251,15.60,383,379,175.00,4818,220,4571,4791,238,4614,4852,330,4514,4844,4778,4406,4245,418,4314,4732,9.40,447,4643,4331,345,3308,3653,491,4785
01013,AL,Butler,3.60,4.70,5.50,6.90,7.60,8.60,13.60,6.20,11.59,4.35,4.52,-6.34,2.891566265,0.063411541,5.618262524,24.032974,12.63157895,4.590995561,1.306277743,3.031071655,40.34242232,5.491439442,7885,12.50,9188,8042,9088,1263,9051,1146,7998,9261,1489,7615,9104,8.50,11.50,8278,16.40,773,694,338.00,9263,420,8553,8973,494,8481,8975,636,8593,9229,9147,8457,8039,793,8477,9270,10.30,941,8925,8206,560,8539,9099,1049,9151
01015,AL,Calhoun,3.50,4.60,4.90,6.50,7.00,8.00,11.40,3.90,-2.46,0.87,-15.43,-13.30,1.0756484,0.15781714,6.036505596,17.63814191,15.06738377,4.611998256,1.526257865,4.352430592,42.36351932,7.170297153,48157,10.30,51268,45963,49649,5860,54564,5305,45699,51559,5996,47929,53925,5.70,8.90,51468,11.10,3096,3231,1635.00,46209,2116,44191,46307,2271,43679,45950,2997,43016,46013,48405,42764,45252,3770,43467,47237,8.80,4242,44574,44163,2152,52709,54861,4397,45995
